x,y,z
51.9700813293457,78.91123962402344,82.22608184814453
51.24525451660156,78.99886322021484,82.80436706542969
52.20948791503906,78.03437042236328,82.45726013183594
51.30949783325195,77.8645248413086,83.34269714355469
50.212249755859375,79.91209411621094,83.03294372558594
50.483062744140625,79.091552734375,83.35472106933594
50.57933044433594,77.93303680419922,83.90386962890625
48.49217224121094,80.91036224365234,83.8720474243164
48.5882453918457,79.76837158203125,84.40699768066406
49.472023010253906,79.98924255371094,83.57740020751953
48.80938720703125,78.92221069335938,84.6947021484375
49.028953552246094,78.06590270996094,84.96110534667969
49.80356979370117,78.00567626953125,84.43731689453125
49.58169937133789,78.852294921875,84.15291595458984
42.03861999511719,85.69271850585938,86.36029052734375
41.024749755859375,86.61309051513672,86.62252044677734
41.262081146240234,85.74883270263672,86.88212585449219
47.49506759643555,81.8334732055664,84.14398956298828
46.511268615722656,82.75867462158203,84.41207885742188
46.742191314697266,81.89125061035156,84.71483612060547
45.75713348388672,82.82240295410156,84.99459838867188
45.8587760925293,81.72149658203125,85.50479888916016
44.78794479370117,83.7735824584961,85.28485870361328
44.87901306152344,82.63843536376953,85.80313873291016
45.0874137878418,81.77346801757812,86.06439971923828
46.34990310668945,78.82498931884766,86.55452728271484
46.54779815673828,77.94466400146484,86.84979248046875
47.34531021118164,77.89994049072266,86.29267883300781
45.361724853515625,79.762451171875,86.81072235107422
45.56368637084961,78.8841552734375,87.09766387939453
45.66288757324219,77.75259399414062,87.58971405029297
47.72825241088867,80.97550964355469,84.44171142578125
47.82518005371094,79.84921264648438,84.96930694580078
46.846954345703125,80.79336547851562,85.22754669189453
47.042579650878906,79.90591430664062,85.509765625
48.03407287597656,78.98221588134766,85.23871612548828
48.11411666870117,77.84650421142578,85.75302124023438
47.12660598754883,78.76837158203125,86.0146255493164
46.05775833129883,80.84009552001953,85.77172088623047
46.263763427734375,79.96932983398438,86.04383850097656
45.28329086303711,80.9024658203125,86.30641174316406
41.87027359008789,81.74020385742188,88.48844909667969
42.62648391723633,81.67549133300781,87.93111419677734
41.65824508666992,82.6097183227539,88.23614501953125
43.82630157470703,84.71572875976562,85.59083557128906
44.011287689208984,83.84477996826172,85.84327697753906
43.035980224609375,84.77388000488281,86.10221099853516
43.10681915283203,83.63237762451172,86.62779235839844
44.31011962890625,81.83914184570312,86.59017181396484
44.109458923339844,82.69969940185547,86.33930969238281
43.33216094970703,82.76903533935547,86.87738800048828
43.394039154052734,81.60493469238281,87.38459777832031
41.58898162841797,83.7684097290039,87.69091033935547
42.3511962890625,83.70088195800781,87.1642074584961
41.34569549560547,84.61122131347656,87.42864227294922
42.263954162597656,84.84043884277344,86.63407897949219
42.58396911621094,82.85238647460938,87.40756225585938
43.799896240234375,79.87078094482422,87.88816833496094
44.57888412475586,79.81623077392578,87.35025787353516
43.597686767578125,80.74217987060547,87.63015747070312
44.772151947021484,78.95439910888672,87.63233947753906
44.87714385986328,77.80792236328125,88.13231658935547
43.87856674194336,78.72857666015625,88.38729095458984
44.09966278076172,77.86449432373047,88.67266082763672
42.82472229003906,80.80036926269531,88.18010711669922
42.87931442260742,79.65877532958984,88.6710433959961
42.08469009399414,80.8786392211914,88.70378112792969
42.10710906982422,79.7232666015625,89.1951904296875
43.09828186035156,78.79136657714844,88.922119140625
43.19617462158203,77.6551284790039,89.46002197265625
42.33110809326172,78.85594940185547,89.45164489746094
42.416282653808594,77.7110366821289,90.00533294677734
44.37164306640625,80.68449401855469,87.08381652832031
40.27058410644531,86.67289733886719,87.15718841552734
40.34215545654297,85.53914642333984,87.66228485107422
39.31272506713867,87.61679077148438,87.4732666015625
39.50715637207031,86.72798156738281,87.71257781982422
39.563907623291016,85.60034942626953,88.19449615478516
38.32804870605469,88.54248046875,87.74826049804688
38.53923034667969,87.67923736572266,88.03628540039062
37.52246856689453,88.60550689697266,88.2645034790039
37.64243698120117,87.45426177978516,88.79460144042969
37.815147399902344,86.5777816772461,89.034912109375
37.98685836791992,85.6900863647461,89.27239990234375
38.781192779541016,85.64957427978516,88.73110961914062
38.58577346801758,86.53248596191406,88.48600006103516
35.64005661010742,89.52522277832031,88.89215087890625
34.58613586425781,90.3934555053711,89.04173278808594
34.816165924072266,89.56321716308594,89.36162567138672
33.75547409057617,90.43421936035156,89.51353454589844
33.88254928588867,89.30164337158203,90.05194091796875
34.45197677612305,86.48133087158203,91.23516082763672
34.67756271362305,85.63135528564453,91.56487274169922
35.487003326416016,85.5808334350586,91.05510711669922
36.476890563964844,89.48275756835938,88.41278076171875
36.6974983215332,88.65382385253906,88.74937438964844
